NAME,STATEFP,INTPTLAT,INTPTLON
Breckinridge,21,+37.7779880,-086.4329188
Bremer,19,+42.7808946,-092.3273559
Brevard,12,+28.2983112,-080.7003334
Brewster,48,+29.8089965,-103.2524579
Briscoe,48,+34.5251725,-101.2058930
Bristol,25,+41.7485884,-071.0888940
Bristol,51,+36.6169541,-082.1575641
Bristol,44,+41.7068397,-071.2866874
Bristol Bay,02,+58.7416610,-156.9668053
Broadwater,30,+46.3298486,-111.4978728
Bronx,36,+40.8487111,-073.8529390
Brooke,54,+40.2726454,-080.5786910
Brookings,46,+44.3766745,-096.7977971
Brooks,48,+27.0349936,-098.2152756
Brooks,13,+30.8229337,-083.5819054
Broome,36,+42.1619773,-075.8302833
Broomfield,08,+39.9535933,-105.0507868
Broward,12,+26.1935353,-080.4766834
Brown,17,+39.9620694,-090.7503095
Brown,31,+42.3595618,-099.9239198
Brown,39,+38.9313769,-083.8667723
Brown,46,+45.5892542,-098.3521746
Brown,20,+39.8259308,-095.5699047
Brown,18,+39.1951131,-086.2301209
Brown,48,+31.7641372,-098.9984560
Brown,55,+44.4740244,-087.9961303
Brown,27,+44.2465415,-094.7336472
Brule,46,+43.7298732,-099.0929090
Brunswick,37,+34.0387542,-078.2277653
Brunswick,51,+36.7642043,-077.8614832
Bryan,13,+32.0179692,-081.4385431
Bryan,40,+33.9640035,-096.2651348
Buchanan,51,+37.2681198,-082.0381508
Buchanan,29,+39.6603695,-094.8081728
Buchanan,19,+42.4703284,-091.8386658
Buckingham,51,+37.5739280,-078.5291687
Bucks,42,+40.3368872,-075.1070600
Buena Vista,19,+42.7415219,-095.1414324
Buena Vista,51,+37.7293448,-079.3581337
Buffalo,46,+44.0443062,-099.2039983
Buffalo,31,+40.8552654,-099.0749839
Buffalo,55,+44.3856333,-091.7612940
Bullitt,21,+37.9699453,-085.7026354
Bulloch,13,+32.3944811,-081.7416185
Bullock,01,+32.1017589,-085.7172613
Buncombe,37,+35.6093706,-082.5304234
Bureau,17,+41.4013043,-089.5283772
Burke,38,+48.7864534,-102.5200874
Burke,13,+33.0601805,-082.0001638
Burke,37,+35.7461820,-081.7061795
Burleigh,38,+46.9788291,-100.4695326
Burleson,48,+30.4934867,-096.6220912
Burlington,34,+39.8757858,-074.6630063
Burnet,48,+30.7896305,-098.2011868
Burnett,55,+45.8668974,-092.3757305
Burt,31,+41.8541794,-096.3377462
Butler,39,+39.4397469,-084.5657341
Butler,01,+31.7516670,-086.6819689
Butler,42,+40.9138467,-079.9189776
Butler,29,+36.7151802,-090.4031300
Butler,20,+37.7736487,-096.8388402
Butler,21,+37.2070133,-086.6824707
Butler,19,+42.7347570,-092.7801530
Butler,31,+41.2260725,-097.1320394
Butte,16,+43.6851010,-113.1776308
Butte,06,+39.6653362,-121.6032086
Butte,46,+44.8962264,-103.5014361
Butts,13,+33.2903551,-083.9582206
Cabarrus,37,+35.3883455,-080.5527284
Cabell,54,+38.4195778,-082.2433966
Cabo Rojo,72,+17.9971375,-067.1808622
Cache,49,+41.7341179,-111.7453936
Caddo,40,+35.1679202,-098.3810447
Caddo,22,+32.5801062,-093.8849698
Caguas,72,+18.2111085,-066.0509643
Calaveras,06,+38.1910682,-120.5541065
Calcasieu,22,+30.2295588,-093.3580154
Caldwell,22,+32.1012195,-092.1142311
Caldwell,37,+35.9663959,-081.5125404
Caldwell,48,+29.8323986,-097.6281410
Caldwell,29,+39.6589977,-093.9791785
Caldwell,21,+37.1486421,-087.8705095
Caledonia,50,+44.4687907,-072.1121676
Calhoun,48,+28.4417191,-096.5795739
Calhoun,19,+42.3860614,-094.6436024
Calhoun,12,+30.3888013,-085.1979155
Calhoun,13,+31.5212790,-084.6262895
Calhoun,05,+33.5604604,-092.5138790
Calhoun,28,+33.9366339,-089.3371142
Calhoun,26,+42.2429896,-085.0123853
Calhoun,17,+39.1642619,-090.6662948
Calhoun,01,+33.7705162,-085.8279089
Calhoun,54,+38.8441591,-081.1154775
Calhoun,45,+33.6747804,-080.7803468
Callahan,48,+32.2931499,-099.3722490
Callaway,29,+38.8355470,-091.9234458
Calloway,21,+36.6209783,-088.2740857
Calumet,55,+44.0784104,-088.2121322
Calvert,24,+38.5227191,-076.5297621
Camas,16,+43.5025515,-114.7721349
Cambria,42,+40.5102089,-078.7104876
Camden,34,+39.8024071,-074.9612493
Camden,37,+36.3423438,-076.1624876
Camden,13,+30.9133580,-081.6420193
Camden,29,+38.0265274,-092.7653271
Cameron,42,+41.4382909,-078.1983225
Cameron,22,+29.8718120,-093.1649478
Cameron,48,+26.1029227,-097.4789584
Camp,48,+32.9745813,-094.9790850
Campbell,47,+36.4015922,-084.1592495
Campbell,56,+44.1919991,-105.5170141
Campbell,46,+45.7855747,-100.0021074
Campbell,21,+38.9469811,-084.3795832
Campbell,51,+37.2101515,-079.0954282
Camuy,72,+18.4454691,-066.8631340
Canadian,40,+35.5433544,-097.9798891
Candler,13,+32.4039497,-082.0712656
Cannon,47,+35.8083940,-086.0624044
Canyon,16,+43.6257956,-116.7090580
Canóvanas,72,+18.3300439,-065.8860206
Cape Girardeau,29,+37.3841408,-089.6856575
Cape May,34,+39.0858411,-074.8463541
Capitol,09,+41.8169700,-072.5758861
Carbon,56,+41.7035904,-106.9331526
Carbon,42,+40.9183666,-075.7050387
Carbon,30,+45.2244683,-109.0285543
Carbon,49,+39.6732840,-110.5884845
Caribou,16,+42.7860724,-111.5442734
Carlisle,21,+36.8571800,-088.9766140
Carlton,27,+46.6038184,-092.6710435
Carolina,72,+18.3967757,-065.9687781
Caroline,24,+38.8715306,-075.8316620
